年月日,平均気温(℃),平均気温(℃),平均気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2000/4/1,10.2,8,1,14.6,8,1,4.8,8,1
2000/4/2,8.9,8,1,13.3,8,1,3.2,8,1
2000/4/3,12.6,8,1,18.8,8,1,8.6,8,1
2000/4/4,12.5,8,1,17.0,8,1,6.2,8,1
2000/4/5,12.4,8,1,14.3,8,1,10.5,8,1
2000/4/6,12.1,8,1,16.2,8,1,8.5,8,1
2000/4/7,12.5,8,1,19.6,8,1,6.1,8,1
2000/4/8,13.4,8,1,18.2,8,1,9.5,8,1
2000/4/9,12.6,8,1,19.0,8,1,4.7,8,1
2000/4/10,14.4,8,1,18.2,8,1,8.7,8,1
2000/4/11,10.7,8,1,14.7,8,1,6.4,8,1
2000/4/12,13.5,8,1,18.2,8,1,7.1,8,1
2000/4/13,15.1,8,1,20.3,8,1,9.1,8,1
2000/4/14,18.1,8,1,23.7,8,1,11.0,8,1
2000/4/15,11.9,8,1,15.4,8,1,9.2,8,1
2000/4/16,10.7,8,1,14.2,8,1,6.1,8,1
2000/4/17,11.7,8,1,18.6,8,1,3.9,8,1
2000/4/18,15.2,8,1,23.4,8,1,7.2,8,1
2000/4/19,14.8,8,1,18.8,8,1,11.8,8,1
2000/4/20,16.1,8,1,20.2,8,1,13.1,8,1
2000/4/21,14.7,8,1,18.0,8,1,12.7,8,1
2000/4/22,16.0,8,1,20.0,8,1,11.0,8,1
2000/4/23,15.8,8,1,18.4,8,1,11.2,8,1
2000/4/24,13.8,8,1,19.5,8,1,8.4,8,1
2000/4/25,14.5,8,1,21.1,8,1,5.6,8,1
2000/4/26,12.9,8,1,14.2,8,1,11.1,8,1
2000/4/27,13.8,8,1,18.2,8,1,10.3,8,1
2000/4/28,11.7,8,1,14.4,8,1,8.0,8,1
2000/4/29,13.1,8,1,19.6,8,1,5.4,8,1
2000/4/30,13.3,8,1,17.7,8,1,8.4,8,1
2001/4/1,6.9,8,1,11.5,8,1,0.9,8,1
2001/4/2,10.3,8,1,18.1,8,1,2.0,8,1
2001/4/3,9.8,8,1,12.5,8,1,6.2,8,1
2001/4/4,9.3,8,1,15.3,8,1,2.3,8,1
2001/4/5,10.9,8,1,18.5,8,1,2.2,8,1
2001/4/6,14.4,8,1,21.7,8,1,5.8,8,1
2001/4/7,16.0,8,1,23.8,8,1,8.7,8,1
2001/4/8,17.3,8,1,23.3,8,1,11.4,8,1
2001/4/9,16.8,8,1,19.9,8,1,14.4,8,1
2001/4/10,18.9,8,1,26.0,8,1,12.0,8,1
2001/4/11,18.2,8,1,23.5,8,1,12.3,8,1
2001/4/12,13.5,8,1,16.2,8,1,9.2,8,1
2001/4/13,12.7,8,1,18.0,8,1,5.6,8,1
2001/4/14,13.5,8,1,19.0,8,1,7.0,8,1
2001/4/15,14.6,8,1,20.1,8,1,7.0,8,1
2001/4/16,15.8,8,1,24.1,8,1,7.4,8,1
2001/4/17,16.8,8,1,22.6,8,1,10.0,8,1
2001/4/18,17.0,8,1,20.7,8,1,12.1,8,1
2001/4/19,17.7,8,1,23.3,8,1,10.5,8,1
2001/4/20,14.7,8,1,19.3,8,1,10.3,8,1
2001/4/21,10.1,8,1,10.7,8,1,8.6,8,1
2001/4/22,12.6,8,1,19.0,8,1,6.1,8,1
2001/4/23,13.5,8,1,21.1,8,1,4.2,8,1
2001/4/24,14.0,8,1,16.3,8,1,12.4,8,1
2001/4/25,13.3,8,1,18.4,8,1,9.7,8,1
2001/4/26,12.8,8,1,18.6,8,1,5.4,8,1
2001/4/27,14.7,8,1,22.8,8,1,6.1,8,1
2001/4/28,15.9,8,1,22.5,8,1,9.0,8,1
2001/4/29,15.8,8,1,17.0,8,1,15.0,8,1
2001/4/30,17.2,8,1,19.7,8,1,14.1,8,1
2002/4/1,14.2,8,1,21.1,8,1,6.9,8,1
2002/4/2,16.2,8,1,23.6,8,1,8.3,8,1
2002/4/3,15.3,8,1,24.5,8,1,10.2,8,1
2002/4/4,13.2,8,1,18.1,8,1,6.9,8,1
2002/4/5,13.7,8,1,20.6,8,1,5.0,8,1
2002/4/6,11.5,8,1,14.9,8,1,6.8,8,1
2002/4/7,15.0,8,1,19.4,8,1,12.0,8,1
2002/4/8,17.4,8,1,23.4,8,1,12.1,8,1
2002/4/9,15.1,8,1,19.0,8,1,10.7,8,1
2002/4/10,12.0,8,1,16.7,8,1,7.0,8,1
2002/4/11,11.7,8,1,15.9,8,1,8.9,8,1
2002/4/12,11.9,8,1,16.3,8,1,7.6,8,1
